Ref No.;Full citation (APA);Person working on it;Abs Justification; Include/Exclude Abstract; Include/Exclude Full;Full txt Justification;Habitat;Habitat_old;Species (Genus);Species (Latin name, first letter capital, e.g. Zostera marina);Focus;Setting;Type of Data;Region according to HELCOM;Latitude;Longitude;Notes (Region);Time scale;Start Year;End Year;Duration;Pressures;Pressures2;Details on Pressures;Effect of Pressures;Effect direction of Pressures;Type of Ecosystem Service;Specify Service;Service details;Describe Service;Are ES Monetary?;Type of Non-Monetary Value;Type of Monetary Value;Monetary Method used;Specific Method (Non-Monetary and Monetary);Specific Unit (Non-Monetary and Monetary);NOTES;Economic Scoring System;Type of Effect on Economy;Natural Scoring System;Type of Effect on Nature;Human Scoring System;Type of Effect on Human;Social Scoring System;Type of Effect on Society;Interaction with other ES;NOTES;Language of Literature;Quality Assessment (0 (bad) - 5 (good));Criterion Used;Value of Criterion;Number of Replicates;NOTES
400;Zenthoefer, M., Geisen, U., Hofmann-Peiker, K., Fuhrmann, M., Kerber, J., Kirchh”fer, R., ? Kalthoff, H. (2017). Isolation of polyphenols with anticancer activity from the Baltic Sea brown seaweed Fucus vesiculosus using bioassay-guided fractionation. Journal of Applied Phycology, 29(4), 2021?2037. https://doi.org/10.1007/s10811-017-1080-z;Reviewer 1 ;about using macroalgae for medicinal uses;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;algal chemical for anticancer drugs;Lab;Experiment;Kiel Bay;54,448139;10,188361;;Present;2012;2012;1;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;algal chemical for anticancer drugs;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;3;P-Value;<0.05;3;
542;Gru?newald, N., Groth, I., & Alban, S. (2009). Evaluation of Seasonal Variations of the Structure and Anti-inflammatory Activity of Sulfated Polysaccharides Extracted from the Red AlgaDelesseria sanguinea(Hudson) Lamouroux (Ceramiales, Delesseriaceae). Biomacromolecules, 10(5), 1155?1162. https://doi.org/10.1021/bm8014158;Reviewer 1 ;about compounds from algae;Include;Include;;Macroalgae;Macroalgae;Delesseria;Delesseria sanguinea;valuable compunds from algae;Lab;Observational;Bay of Mecklenburg;54,175;11,943333;;Present;2006;2006;1;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;neutral monosaccharide composition, which is antinflamatory medical compound;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;2;Direct;2;Direct;;;english;3;P-Value;<0.05;6;
1255;Ehrig, K., & Alban, S. (2014). Sulfated Galactofucan from the Brown Alga Saccharina latissima?Variability of Yield, Structural Composition and Bioactivity. Marine Drugs, 13(1), 76?101. https://doi.org/10.3390/md13010076;Reviewer 3;brown algae, provsioning;Include;Include;to identify compounds with antitumor activity in extracts from brown algae;Macroalgae;Macroalgae;Saccharina;Saccharina latissima;to identify compounds with antitumor activity in extracts from brown algae;Field;Observational;Kiel Bay;;;Kiel fjord;Present;2011;2011;1;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;sulfated polysaccharides extraxtion as promising candidates for numerous health-supporting and therapeutic applications for humans;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;2;Direct;2;Direct;;;english;4;P-Value;? 0.05;3 or higher;Student?s t-test
1255;Ehrig, K., & Alban, S. (2014). Sulfated Galactofucan from the Brown Alga Saccharina latissima?Variability of Yield, Structural Composition and Bioactivity. Marine Drugs, 13(1), 76?101. https://doi.org/10.3390/md13010076;Reviewer 3;brown algae, provsioning;Include;Include;to identify compounds with antitumor activity in extracts from brown algae;Macroalgae;Macroalgae;Saccharina;Saccharina latissima;study the harvedting time importance for extracting sulfated polysaccharides from Saccharina;Field;Experiment;Kiel Bay;;;Kiel fjord;Present;2011;2011;1;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;sulfated polysaccharides extraxtion as promising candidates for numerous health-supporting and therapeutic applications for humans;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;2;Direct;2;Direct;;;english;4;R-squared;0,99;4 or higher;
1321;Elsebai, M. F., Nazir, M., Kehraus, S., Egereva, E., Ioset, K. N., Marcourt, L., ? K”nig, G. M. (2012). Polyketide Skeletons from the Marine Alga-Derived FungusConiothyrium cereale. European Journal of Organic Chemistry, 2012(31), 6197?6203. https://doi.org/10.1002/ejoc.201200700;Reviewer 3;Enteromorpha sp enzymes involved with human diseases, cultural? Don't know if include later;Include;Include;Coniothyrium cereale isolated from the Baltic Sea alga Enteromorpha sp.;Macroalgae;Macroalgae;Enteromorpha;Enteromorpha sp;To study coniothyrium cereale (produces compounds capable of inhibiting human leucocyte elastase) ;Field;Observational;Arkona Basin;;;;Present;NA;NA;NA;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;lead for anti-inflammatory drugs;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;3;None;;NA;
1749;Geisen, U., Zenthoefer, M., Peipp, M., Kerber, J., Plenge, J., Manag•, A., ? Kalthoff, H. (2015). Molecular Mechanisms by Which a Fucus vesiculosus Extract Mediates Cell Cycle Inhibition and Cell Death in Pancreatic Cancer Cells. Marine Drugs, 13(7), 4470?4491. https://doi.org/10.3390/md13074470;Reviewer 3;Fucus against pancreatic cancer, provisioning;Include;Include;hydrophilic extract derived from the Baltic brown seaweed Fucus vesiculosus;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;analyze the effect of Fv1 on the viability of tumor cells.;Lab;Experiment;Kiel Bay;;;Blk, Kiel Fjord;Present;NA;NA;NA;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;hydrophilic extract from Fucus vesiculosus inhibits the viability in various pancreatic cancer cell lines;Non-Monetary;Unclear;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;3;P-Value;< 0.05;3;Number of significantly regulated genes after Fv1 treatment. log fold change (lfc): >1 or <?1
2568;Pozharitskaya, O., Shikov, A., Faustova, N., Obluchinskaya, E., Kosman, V., Vuorela, H., & Makarov, V. (2018). Pharmacokinetic and Tissue Distribution of Fucoidan from Fucus vesiculosus after Oral Administration to Rats. Marine Drugs, 16(4), 132. https://doi.org/10.3390/md16040132;Reviewer 5;drugs from Fucus;Include;Include;Fucoidan (fucose-rich sulfated polysaccharide) was isolated from F. vesiculosus;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;pharmacokinetics and tissue distribution of fucoidan in rats after a single-dose oral administration;Lab;Experiment;Baltic Sea wide;;;for Fucus in general, therfore applies to Baltic Sea wide, Fucus in this study was collected from the Barents Sea;Present;2015;2015;1;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;2;Direct;2;Direct;;;english;5;None;;;trial runs with mice, statistics and repication used
2587;Wiese, J., Thiel, V., Nagel, K., Staufenberger, T., & Imhoff, J. F. (2008). Diversity of Antibiotic-Active Bacteria Associated with the Brown Alga Laminaria saccharina from the Baltic Sea. Marine Biotechnology, 11(2), 287?300. https://doi.org/10.1007/s10126-008-9143-4;Reviewer 5;Antimicrobial activity of bacteria found on Laminaria;Include;Include;Antimicrobial activity of bacteria found on Laminaria;Macroalgae;Macroalgae;Laminaria;Laminaria saccharina;Diversity of Antibiotic-Active Bacteria Associated with the Brown Alga Laminaria saccharina from the Baltic Sea;Lab;Experiment;Kiel Bay;54,414010;10,197490;Laminaria was collected from Kiel Fjord but this could maybe be extrapolated to the entire Baltic Sea? Coordinates estimated from description in the paper;Present;2002;2004;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;novel antibacterial lactones (macrolactines G?M), phenazines (i.e., pelagiomycin A), and korormicin, which exhibit a variety of activities against bacteria and fungi pathogenic to man and plants as well as leukemic cells;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;210;From a total of 210 bacterial isolates, 103 displayed antimicrobial activity against at least one of the test strains used in this study
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Saccharina;Saccharina latissima;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Rhodomela;Rhodomela confervoides;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
